,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,Lat,Long
297,5.086453015,40,2000,18.6625004,1.0433,8321.148747,3440770.855,-66117.27686
298,5.046128721,40,2000,18.6082993,1.0474,8244.219,3440770.855,-65209.95569
299,4.886544049,40,2000,18.5625,1.0501,7817.026509,3440770.855,-64302.63452
300,4.967036549,40,2000,18.5874996,1.0459,8013.517425,3440770.855,-62487.99218
301,4.995959117,40,2000,18.625,1.0417,8072.840414,3440770.855,-61580.67102
302,5.110977039,40,2000,18.6166992,1.0436,8389.640531,3440770.855,-60673.34985
303,4.877755144,40,2000,18.5874996,1.0395,7646.4317,3440770.855,-59766.02868
304,5.031881109,40,2000,18.5499992,1.0424,8063.462497,3440770.855,-58858.70751
305,5.153884117,40,2000,18.5874996,1.039,8744.742635,3440770.855,-57951.38634
306,5.066453928,40,2000,18.625,1.0361,8164.811075,3440770.855,-57044.06517
307,5.025797462,40,2000,18.6333008,1.033,8327.837252,3440770.855,-56136.744
308,5.05194881,40,2000,18.5708008,1.0364,8175.848942,3440770.855,-55229.42283
309,5.127882813,40,2000,18.6124992,1.0289,8515.003324,3440770.855,-54322.10167
310,4.992277377,40,2000,18.5583,1.0335,8116.570233,3440770.855,-52507.45933
311,4.9610729,40,2000,18.6208,1.0231,8207.233107,3440770.855,-51600.13816
312,5.181165846,40,2000,18.6457996,1.0182,8778.743156,3440770.855,-49785.49582
313,5.066937756,40,2000,18.6375008,1.014,8610.084972,3440770.855,-47970.85348
314,5.055954664,40,2000,18.6625004,1.0134,8425.812504,3440770.855,-47063.53232
315,5.266509792,40,2000,18.6000004,1.0155,8844.593115,3440770.855,-45248.88998
316,4.966350723,40,2000,18.5874996,1.0174,8160.106699,3440770.855,-40712.28413
317,5.168308059,40,2000,18.5792007,1.0092,8738.50842,3440770.855,-37082.99946
318,5.119653012,40,2000,18.5832996,1.0085,8621.877594,3440770.855,-36175.67829
319,5.143000298,40,2000,18.5125008,1.0069,8778.070409,3440770.855,-32546.39361
320,5.08577549,40,2000,18.5499992,1.0037,8426.942112,3440770.855,-31639.07245
321,5.09419924,40,2000,18.5708008,0.9977,8572.074484,3440770.855,-28917.10894
